"(Intercept)","John","Sand","df","logLik","AICc","delta","weight","R_squared"
5.18300701652476,0.0157846551883137,NA,5,-1094.81085926934,2199.75158866855,0,0.982477158988273,0.440502187676266
5.4346196062356,0.0157441873187198,-0.00548929550539698,6,-1097.81125990866,2207.80473239867,8.05314373011697,0.0175228410117268,0.440020640830063
8.28700037606897,NA,NA,4,-1203.3101060999,2414.70660528836,214.955016619811,2.0674436190946e-47,0
